y_train,stim_train,y_test,stim_test
0,-0.48,0,-0.48
0,0.48,0,-0.48
0,0.48,0,0.48
0,0.48,0,0.48
0,-0.48,0,0.48
1,0.48,0,0.48
2,0.48,1,0.48
1,0.48,2,0.48
0,0.48,2,-0.48
0,0.48,1,0.48
3,-0.48,1,0.48
1,0.48,0,-0.48
0,0.48,0,-0.48
0,0.48,0,-0.48
0,-0.48,0,0.48
2,0.48,0,0.48
2,0.48,0,-0.48
0,0.48,0,0.48
0,0.48,0,-0.48
1,0.48,0,0.48
1,-0.48,0,0.48
2,-0.48,0,0.48
1,-0.48,0,0.48
0,-0.48,2,-0.48
0,-0.48,2,0.48
0,-0.48,1,-0.48
0,0.48,0,0.48
0,-0.48,0,0.48
0,0.48,0,0.48
0,-0.48,0,0.48
0,-0.48,0,-0.48
0,0.48,2,-0.48
0,0.48,1,-0.48
0,0.48,0,-0.48
0,0.48,0,-0.48
2,0.48,0,-0.48
2,0.48,0,0.48
3,-0.48,0,0.48
2,0.48,0,-0.48
1,0.48,0,-0.48
0,-0.48,0,0.48
0,-0.48,1,-0.48
0,0.48,0,0.48
0,0.48,0,0.48
0,0.48,0,-0.48
0,0.48,1,0.48
0,0.48,2,0.48
2,0.48,0,-0.48
1,0.48,1,-0.48
0,-0.48,0,0.48
1,-0.48,0,-0.48
1,-0.48,0,0.48
0,-0.48,0,-0.48
0,0.48,0,-0.48
0,-0.48,0,-0.48
0,0.48,0,-0.48
0,-0.48,0,-0.48
0,-0.48,0,-0.48
0,0.48,0,-0.48
0,-0.48,0,-0.48
0,-0.48,0,0.48
0,-0.48,1,0.48
0,-0.48,0,-0.48
0,0.48,0,0.48
0,-0.48,1,-0.48
0,-0.48,3,0.48
0,0.48,2,0.48
0,0.48,0,0.48
0,0.48,1,-0.48
1,0.48,2,-0.48
2,-0.48,0,-0.48
3,-0.48,0,0.48
1,-0.48,0,0.48
1,0.48,0,0.48
0,-0.48,0,-0.48
0,0.48,0,-0.48
0,0.48,1,0.48
0,0.48,0,0.48
0,0.48,0,-0.48
2,0.48,0,0.48
2,0.48,0,-0.48
2,0.48,1,0.48
2,-0.48,0,0.48
0,0.48,0,-0.48
0,0.48,0,-0.48
0,-0.48,0,-0.48
0,-0.48,0,0.48
0,0.48,0,-0.48
0,-0.48,0,-0.48
0,0.48,0,0.48
0,-0.48,0,0.48
0,0.48,0,0.48
0,-0.48,0,-0.48
0,0.48,1,0.48
0,-0.48,3,-0.48
0,-0.48,0,0.48
0,0.48,0,0.48
0,-0.48,0,0.48
0,0.48,0,-0.48
0,-0.48,1,0.48
0,0.48,2,0.48
0,0.48,0,-0.48
0,0.48,0,-0.48
1,-0.48,0,-0.48
2,0.48,0,-0.48
1,-0.48,0,-0.48
1,0.48,0,-0.48
0,0.48,1,-0.48
0,0.48,0,-0.48
0,0.48,0,-0.48
