"","Name","Total","word","N","Rate","Authorship","Disputed"
"65","Federalist No. 1",1622,"can",3,0.00184956843403206,"Hamilton","no"
"1526","Federalist No. 11",2511,"can",5,0.00199123855037834,"Hamilton","no"
"2437","Federalist No. 12",2171,"can",2,0.000921234454168586,"Hamilton","no"
"3125","Federalist No. 13",970,"can",4,0.00412371134020619,"Hamilton","no"
"4256","Federalist No. 15",3095,"can",14,0.00452342487883683,"Hamilton","no"
"5530","Federalist No. 16",2047,"can",1,0.000488519785051295,"Hamilton","no"
"6102","Federalist No. 17",1574,"can",2,0.00127064803049555,"Hamilton","no"
"9478","Federalist No. 21",2003,"can",9,0.00449326010983525,"Hamilton","no"
"10227","Federalist No. 22",3565,"can",6,0.00168302945301543,"Hamilton","no"
"11301","Federalist No. 23",1807,"can",11,0.006087437742114,"Hamilton","no"
"11968","Federalist No. 24",2012,"can",4,0.00198807157057654,"Hamilton","no"
"12697","Federalist No. 25",1992,"can",3,0.00150602409638554,"Hamilton","no"
"13369","Federalist No. 26",2388,"can",5,0.00209380234505863,"Hamilton","no"
"14092","Federalist No. 27",1460,"can",11,0.00753424657534247,"Hamilton","no"
"14621","Federalist No. 28",1609,"can",12,0.0074580484773151,"Hamilton","no"
"15171","Federalist No. 29",2248,"can",11,0.0048932384341637,"Hamilton","no"
"16425","Federalist No. 30",1974,"can",12,0.0060790273556231,"Hamilton","no"
"17207","Federalist No. 31",1740,"can",2,0.00114942528735632,"Hamilton","no"
"17923","Federalist No. 32",1493,"can",1,0.000669792364367046,"Hamilton","no"
"18284","Federalist No. 33",1694,"can",2,0.00118063754427391,"Hamilton","no"
"18736","Federalist No. 34",2220,"can",7,0.00315315315315315,"Hamilton","no"
"19477","Federalist No. 35",2261,"can",6,0.00265369305616984,"Hamilton","no"
"20153","Federalist No. 36",2745,"can",16,0.0058287795992714,"Hamilton","no"
"37503","Federalist No. 59",1919,"can",6,0.00312662845231892,"Hamilton","no"
"38186","Federalist No. 6",2054,"can",2,0.000973709834469328,"Hamilton","no"
"38919","Federalist No. 60",2260,"can",4,0.00176991150442478,"Hamilton","no"
"39554","Federalist No. 61",1526,"can",6,0.00393184796854522,"Hamilton","no"
"42414","Federalist No. 65",2026,"can",5,0.00246791707798618,"Hamilton","no"
"43137","Federalist No. 66",2270,"can",3,0.0013215859030837,"Hamilton","no"
"43814","Federalist No. 67",1660,"can",3,0.00180722891566265,"Hamilton","no"
"44516","Federalist No. 68",1519,"can",1,0.000658327847267939,"Hamilton","no"
"44844","Federalist No. 69",3001,"can",18,0.00599800066644452,"Hamilton","no"
"45728","Federalist No. 7",2315,"can",3,0.00129589632829374,"Hamilton","no"
"46534","Federalist No. 70",3121,"can",5,0.00160205062479974,"Hamilton","no"
"47501","Federalist No. 71",1755,"can",2,0.00113960113960114,"Hamilton","no"
"48124","Federalist No. 72",2049,"can",2,0.000976085895558809,"Hamilton","no"
"48782","Federalist No. 73",2373,"can",3,0.00126422250316056,"Hamilton","no"
"50662","Federalist No. 76",2310,"can",2,0.000865800865800866,"Hamilton","no"
"51181","Federalist No. 77",1980,"can",8,0.00404040404040404,"Hamilton","no"
"51820","Federalist No. 78",3074,"can",18,0.00585556278464541,"Hamilton","no"
"52706","Federalist No. 79",1042,"can",7,0.00671785028790787,"Hamilton","no"
"53390","Federalist No. 8",2062,"can",1,0.000484966052376334,"Hamilton","no"
"53945","Federalist No. 80",2460,"can",5,0.00203252032520325,"Hamilton","no"
"54635","Federalist No. 81",3933,"can",6,0.0015255530129672,"Hamilton","no"
"55548","Federalist No. 82",1554,"can",5,0.00321750321750322,"Hamilton","no"
"56080","Federalist No. 83",5855,"can",6,0.00102476515798463,"Hamilton","no"
"57243","Federalist No. 84",4212,"can",11,0.00261158594491928,"Hamilton","no"
"58262","Federalist No. 85",2720,"can",10,0.00367647058823529,"Hamilton","no"
"59386","Federalist No. 9",1997,"can",1,0.000500751126690035,"Hamilton","no"
